"district","county","year","subcounty","parish","school_name","ownership","gender","grade","value","location_code","facility_id"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Male","Division X","2.0","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Mugongo","Mugongo Primary School","Government","Female","Division X","","D01S09P07","mugongo-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Male","Division 1","","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Female","Division 1","","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Male","Division 2","7.0","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Female","Division 2","11.0","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Male","Division 3","10.0","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Female","Division 3","9.0","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Male","Division 4","5.0","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Female","Division 4","2.0","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Male","Division U","","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Female","Division U","","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Male","Division X","2.0","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Bbaale","Kavule","Namataala Primary School","Government","Female","Division X","1.0","D01S09P04","namataala-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Male","Division 1","","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Female","Division 1","","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Male","Division 2","6.0","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Female","Division 2","6.0","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Male","Division 3","5.0","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Female","Division 3","5.0","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Male","Division 4","5.0","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Female","Division 4","1.0","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Male","Division U","","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Female","Division U","2.0","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Male","Division X","","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kamusabi","Bugatto RC Primary School","Government","Female","Division X","","D01S10P01","bugatto-rc-primary-school_kayunga"
"Kayunga","Bbaale","2018","Kayonza","Kitwe","Bugoma Primary School","Government","Male","Division 1","","D01S10P07","bugoma-primary-school_kayunga"
