district,county,subcounty,year,level,ownership,value
Kayunga,Ntenjeru,Kangulumira Town Council,2021,Tertiary,Government,0
Kayunga,Ntenjeru,Kangulumira Town Council,2021,Tertiary,Private,0
Kayunga,Bbaale,Kayonza,2021,Primary,Government,31
Kayunga,Bbaale,Kayonza,2021,Primary,Private,21
Kayunga,Bbaale,Kayonza,2021,Secondary,Government,1
Kayunga,Bbaale,Kayonza,2021,Secondary,Private,1
Kayunga,Bbaale,Kayonza,2021,Tertiary,Government,0
Kayunga,Bbaale,Kayonza,2021,Tertiary,Private,0
Kayunga,Ntenjeru,Kayunga,2021,Primary,Government,19
Kayunga,Ntenjeru,Kayunga,2021,Primary,Private,45
Kayunga,Ntenjeru,Kayunga,2021,Secondary,Government,1
Kayunga,Ntenjeru,Kayunga,2021,Secondary,Private,5
Kayunga,Ntenjeru,Kayunga,2021,Tertiary,Government,0
Kayunga,Ntenjeru,Kayunga,2021,Tertiary,Private,1
Kayunga,Ntenjeru,Kayunga Town Council,2021,Primary,Government,7
Kayunga,Ntenjeru,Kayunga Town Council,2021,Primary,Private,25
Kayunga,Ntenjeru,Kayunga Town Council,2021,Secondary,Government,2
Kayunga,Ntenjeru,Kayunga Town Council,2021,Secondary,Private,4
Kayunga,Ntenjeru,Kayunga Town Council,2021,Tertiary,Government,0
Kayunga,Ntenjeru,Kayunga Town Council,2021,Tertiary,Private,0
Kayunga,Bbaale,Kitimbwa,2021,Primary,Government,18
Kayunga,Bbaale,Kitimbwa,2021,Primary,Private,8
Kayunga,Bbaale,Kitimbwa,2021,Secondary,Government,1
Kayunga,Bbaale,Kitimbwa,2021,Secondary,Private,0
Kayunga,Bbaale,Kitimbwa,2021,Tertiary,Government,0
Kayunga,Bbaale,Kitimbwa,2021,Tertiary,Private,1
Kayunga,Bbaale,Kitimbwa Town Council,2021,Primary,Government,8
Kayunga,Bbaale,Kitimbwa Town Council,2021,Primary,Private,5
Kayunga,Bbaale,Kitimbwa Town Council,2021,Secondary,Government,0
Kayunga,Bbaale,Kitimbwa Town Council,2021,Secondary,Private,3
Kayunga,Bbaale,Kitimbwa Town Council,2021,Tertiary,Government,0
Kayunga,Bbaale,Kitimbwa Town Council,2021,Tertiary,Private,0
